,t_out,gain,t_delta,gradient
2018-03-22 13:19:00,2018-03-22 13:40:00,0.008102528772514939,1260,6.430578390884872e-06
2018-03-26 14:05:00,2018-03-26 14:36:00,0.009626825310978804,1860,5.175712532784303e-06
2018-04-03 10:59:00,2018-04-03 11:15:00,0.004701053799223587,960,4.8969310408579025e-06
2018-04-03 15:01:00,2018-04-03 15:15:00,0.008437728159043312,840,1.0044914475051562e-05
2018-04-02 12:33:00,2018-04-02 12:57:00,0.0052818232351306005,1440,3.6679328021740283e-06
2018-04-04 11:20:00,2018-04-04 11:35:00,0.003100088573959159,900,3.444542859954621e-06
2018-04-04 12:36:00,2018-04-04 12:49:00,0.0061596010258457845,780,7.89692439210998e-06
2018-04-04 14:09:00,2018-04-04 14:35:00,0.013750360101753456,1560,8.814333398559908e-06
2018-04-09 09:50:00,2018-04-09 10:07:00,0.003426881985351793,1020,3.3596882209331303e-06
2018-04-20 10:30:00,2018-04-20 10:44:00,0.009909809598040331,840,1.1797392378619441e-05
2018-04-24 09:31:00,2018-04-24 09:38:00,0.00929472735466419,420,2.2130303225390926e-05
2018-04-24 11:27:00,2018-04-24 11:49:00,0.012589058832569444,1320,9.537165782249579e-06
2018-04-25 10:23:00,2018-04-25 11:17:00,0.01897499556658988,3240,5.856480113145025e-06
2018-04-25 12:16:00,2018-04-25 12:39:00,0.022168096603764953,1380,1.6063838118670255e-05
2018-04-27 12:57:00,2018-04-27 13:21:00,0.005393478793821904,1440,3.7454713845985447e-06
2018-05-03 15:18:00,2018-05-03 15:41:00,0.003780471907183003,1380,2.7394723965094226e-06
2018-05-04 10:27:00,2018-05-04 10:47:00,0.004370520869400485,1200,3.642100724500404e-06
2018-05-11 10:07:00,2018-05-11 10:26:00,0.00404602351751171,1140,3.5491434364137807e-06
2018-05-14 09:37:00,2018-05-14 09:49:00,0.008676923076923027,720,1.2051282051281982e-05
2018-05-15 10:22:00,2018-05-15 10:48:00,0.012362301101590978,1560,7.924551988199344e-06
2018-05-16 09:51:00,2018-05-16 10:07:00,0.005525511403714933,960,5.755741045536389e-06
2018-05-17 10:09:00,2018-05-17 10:33:00,0.005540805725499309,1440,3.847781753818965e-06
2018-06-13 11:41:00,2018-06-13 11:51:00,0.0032600821057717777,600,5.433470176286296e-06
